ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
,2024-01-02,35.97,36.35,34.77,34.8,36.16,-1.3599999999999994,-3.76,35138.64,123753.712
,2024-01-03,34.92,34.99,33.66,34.08,34.8,-0.7199999999999989,-2.07,26825.26,91446.471
,2024-01-04,33.96,34.79,33.5,34.14,34.08,0.0600000000000022,0.18,27126.61,92805.562
,2024-01-05,34.14,34.14,32.72,32.97,34.14,-1.1700000000000017,-3.43,24653.83,82143.416
,2024-01-08,32.77,32.93,31.82,31.97,32.97,-1.0,-3.03,19391.37,62662.364
,2024-01-09,32.14,32.89,30.92,31.21,31.97,-0.759999999999998,-2.38,25026.82,79542.407
,2024-01-10,31.31,31.31,29.81,29.95,31.21,-1.2600000000000016,-4.04,29336.64,88550.553
,2024-01-11,30.0,30.96,29.99,30.75,29.95,0.8000000000000007,2.67,27503.46,84007.305
,2024-01-12,30.8,31.3,30.2,30.53,30.75,-0.2199999999999988,-0.72,22304.54,68405.467
,2024-01-15,30.16,30.58,29.7,30.23,30.53,-0.3000000000000007,-0.98,19485.51,58699.212
,2024-01-16,30.18,30.26,29.0,29.5,30.23,-0.7300000000000004,-2.41,23422.94,68923.258
,2024-01-17,29.5,29.69,28.62,28.66,29.5,-0.8399999999999999,-2.85,17549.97,51054.132
,2024-01-18,28.37,29.03,27.84,29.0,28.66,0.3399999999999998,1.19,25990.0,73861.955
,2024-01-19,29.0,29.29,27.77,27.86,29.0,-1.1400000000000006,-3.93,20597.82,58502.656
,2024-01-22,27.86,28.26,25.71,26.09,27.86,-1.7699999999999996,-6.35,23034.58,62255.394
,2024-01-23,25.8,26.73,25.49,26.38,26.09,0.2899999999999991,1.11,29835.72,77777.236
,2024-01-24,26.7,26.9,25.12,26.19,26.38,-0.1899999999999977,-0.72,24599.66,63611.588
,2024-01-25,25.91,27.18,25.68,26.98,26.19,0.7899999999999991,3.02,23662.37,62979.692
,2024-01-26,26.92,27.1,25.95,26.12,26.98,-0.8599999999999994,-3.19,23334.01,61827.557
,2024-01-29,26.26,26.38,24.68,24.79,26.12,-1.3300000000000018,-5.09,20558.25,51945.527
,2024-01-30,25.16,25.26,24.0,24.05,24.79,-0.7399999999999984,-2.99,18174.34,44745.581
,2024-01-31,23.86,24.36,21.82,21.96,24.05,-2.09,-8.69,33843.6,76857.315
,2024-02-01,21.89,22.55,21.21,21.82,21.96,-0.1400000000000005,-0.64,23605.75,51817.557
,2024-02-02,21.56,22.25,19.54,20.31,21.82,-1.5100000000000016,-6.92,25842.97,53743.311
,2024-02-05,19.85,20.11,16.83,17.4,20.31,-2.91,-14.33,40023.52,72376.0
