ts_code,date,pre_close,open,high,low,close,change,pct_chg,volume,amount,adj_factor
159928.SZ,2024-01-02,0.853,0.85,0.853,0.838,0.839,-0.014,-1.6413,934086.28,78656.141,4.0
159928.SZ,2024-01-03,0.839,0.837,0.844,0.829,0.834,-0.005,-0.5959,1123533.0,93617.022,4.0
159928.SZ,2024-01-04,0.834,0.834,0.834,0.816,0.819,-0.015,-1.7986,1548516.0,127013.78,4.0
159928.SZ,2024-01-05,0.819,0.819,0.825,0.811,0.814,-0.005,-0.6105,1041437.0,85275.639,4.0
159928.SZ,2024-01-08,0.814,0.814,0.816,0.8,0.8,-0.014,-1.7199,1379878.0,111139.142,4.0
159928.SZ,2024-01-09,0.8,0.802,0.806,0.795,0.802,0.002,0.25,1236929.71,99051.931,4.0
159928.SZ,2024-01-10,0.802,0.801,0.812,0.795,0.805,0.003,0.3741,1332941.0,107108.522,4.0
159928.SZ,2024-01-11,0.805,0.803,0.814,0.8,0.81,0.005,0.6211,1008062.0,81510.636,4.0
159928.SZ,2024-01-12,0.81,0.809,0.815,0.803,0.806,-0.004,-0.4938,1097886.0,88917.055,4.0
159928.SZ,2024-01-15,0.806,0.807,0.811,0.8,0.802,-0.004,-0.4963,800925.0,64409.299,4.0
159928.SZ,2024-01-16,0.802,0.8,0.807,0.797,0.805,0.003,0.3741,1086064.0,87025.573,4.0
159928.SZ,2024-01-17,0.805,0.803,0.804,0.784,0.784,-0.021,-2.6087,1327561.0,105266.119,4.0
159928.SZ,2024-01-18,0.784,0.783,0.795,0.77,0.795,0.011,1.4031,1789639.0,139231.717,4.0
159928.SZ,2024-01-19,0.795,0.794,0.8,0.788,0.795,0.0,0.0,1006794.0,80020.609,4.0
159928.SZ,2024-01-22,0.795,0.797,0.797,0.773,0.777,-0.018,-2.2642,1421656.0,111646.945,4.0
159928.SZ,2024-01-23,0.777,0.777,0.785,0.77,0.778,0.001,0.1287,1544420.0,119852.246,4.0
159928.SZ,2024-01-24,0.778,0.779,0.785,0.764,0.784,0.006,0.7712,1299195.0,100687.507,4.0
159928.SZ,2024-01-25,0.784,0.785,0.796,0.778,0.795,0.011,1.4031,1368826.0,107966.516,4.0
159928.SZ,2024-01-26,0.795,0.8,0.8,0.788,0.793,-0.002,-0.2516,1006661.0,79785.146,4.0
159928.SZ,2024-01-29,0.793,0.793,0.809,0.792,0.798,0.005,0.6305,1155056.0,92550.897,4.0
159928.SZ,2024-01-30,0.798,0.795,0.795,0.777,0.778,-0.02,-2.5063,1013657.0,79481.898,4.0
159928.SZ,2024-01-31,0.778,0.777,0.78,0.766,0.771,-0.007,-0.8997,1093621.08,84493.138,4.0
