ts_code,name,benchmark,found_date,amount
520810.SH,港股通红利ETF易方达,中证港股通高股息投资指数收益率(使用估值汇率折算),20251222,4138.704
563790.SH,卫星ETF鹏华,中证卫星产业指数收益率,20251218,129196.813
588420.SH,科创创业人工智能ETF摩根,中证科创创业人工智能指数收益率,20251217,50203.212
588430.SH,科创创业人工智能ETF工银,中证科创创业人工智能指数收益率,20251217,27745.466
589150.SH,科创50ETF平安,上证科创板50成份指数收益率,20251217,14082.773
588410.SH,科创创业人工智能ETF鹏华,中证科创创业人工智能指数收益率,20251217,15082.296
562070.SH,沪深300指增ETF华宝,沪深300指数收益率,20251217,7067.372
159136.SZ,A50ETF广发,中证A50指数收益率,20251216,1698.225
589210.SH,科创芯片设计ETF广发,上证科创板芯片设计主题指数收益率,20251211,22738.381
517950.SH,沪深港科技50ETF交银,中证智选沪深港科技50指数收益率,20251210,15301.706
159139.SZ,科创创业人工智能ETF华泰柏瑞,中证科创创业人工智能指数收益率,20251210,60830.839
159140.SZ,科创创业人工智能ETF易方达,中证科创创业人工智能指数收益率,20251210,85087.336
516250.SH,工程机械ETF富国,中证工程机械主题指数收益率,20251210,25653.337
563850.SH,食品ETF广发,中证全指食品指数收益率,20251210,4341.516
563960.SH,300质量ETF兴全,沪深300质量指数收益率,20251205,8011.589
520780.SH,港股通汽车ETF华宝,经人民币汇率调整的中证港股通汽车产业主题指数收益率,20251205,34633.927
159142.SZ,科创创业人工智能ETF景顺,中证科创创业人工智能指数收益率,20251205,71481.331
159141.SZ,科创创业人工智能ETF永赢,中证科创创业人工智能指数收益率,20251203,132273.32
159253.SZ,银行ETF博时,中证银行指数收益率,20251127,1167.014
520630.SH,港股通互联网ETF广发,中证港股通互联网指数收益率(使用估值汇率折算),20251126,10842.01
520820.SH,恒生港股通ETF汇添富,恒指港股通指数收益率(经估值汇率调整后),20251119,1526.818
159130.SZ,恒生生物科技ETF鹏华,恒生生物科技指数收益率(经汇率调整后),20251119,15279.466
159123.SZ,光伏ETF嘉实,中证光伏产业指数收益率,20251119,7881.556
180306.SZ,华夏安博仓储REIT,,20251118,2478.608
520530.SH,港股通科技ETF东财,中证港股通科技指数收益率,20251118,40007.095
159118.SZ,港股通红利低波ETF华夏,经估值汇率调整后的标普港股通低波红利指数收益率,20251117,7749.46
159133.SZ,化工ETF天弘,中证细分化工产业主题指数收益率,20251117,62510.649
563510.SH,A500红利低波ETF易方达,中证A500红利低波动指数收益率,20251117,13445.547
520590.SH,恒生科技ETF鹏华,恒生科技指数收益率(经汇率调整后),20251117,23760.042
515730.SH,家居家电ETF永赢,中证家居家电指数收益率,20251114,1902.847
159121.SZ,港股通汽车ETF易方达,恒生港股通汽车主题指数收益率(使用估值汇率折算),20251114,11261.961
159127.SZ,港股通红利ETF南方,中证港股通高股息投资指数(经估值汇率调整后)收益率,20251112,17750.722
512620.SH,农业ETF天弘,中证农业主题指数收益率,20251112,15269.836
159108.SZ,工业软件ETF博时,国证工业软件主题指数收益率,20251112,9461.453
159129.SZ,化工ETF嘉实,中证细分化工产业主题指数收益率,20251106,63417.636
515370.SH,光伏ETF华夏,中证光伏产业指数收益率,20251106,31000.218
159100.SZ,巴西ETF华夏,巴西伊博维斯帕指数收益率(经估值汇率调整后),20251105,131824.449
159131.SZ,港股通信息技术ETF华宝,经人民币汇率调整的中证港股通信息技术综合指数收益率,20251105,976293.38
563530.SH,卫星ETF易方达,中证卫星产业指数收益率,20251105,225076.08
159120.SZ,港股通科技ETF国联安,同期恒生港股通科技主题指数收益率(使用估值汇率折算),20251105,36790.846
520870.SH,巴西ETF易方达,巴西IBOVESPA指数收益率(使用估值汇率折算),20251105,146538.639
159119.SZ,800现金流ETF招商,中证800自由现金流指数收益率,20251103,9772.591
159128.SZ,港股科技ETF天弘,国证港股通科技指数收益率(经估值汇率调整),20251031,96942.332
563570.SH,金融科技ETF兴业,中证金融科技主题指数收益率,20251029,5714.226
563380.SH,航空航天ETF华泰柏瑞,中证全指航空航天指数收益率,20251029,79258.158
561660.SH,通用航空ETF平安,中证通用航空主题指数收益率,20251029,14290.491
520570.SH,恒生科技ETF南方,经汇率调整后的恒生科技指数收益率,20251029,172123.187
520650.SH,港股通互联网ETF南方,中证港股通互联网指数(经估值汇率调整后)收益率,20251029,60472.899
520950.SH,港股通50ETF摩根,恒生港股通50指数收益率(经汇率调整后),20251029,29238.615
563590.SH,A500红利低波动ETF国寿,中证A500红利低波动指数收益率,20251027,205.438
159125.SZ,港股通科技ETF招商,国证港股通科技指数收益率(经汇率调整后),20251024,41825.589
159260.SZ,证券ETF博时,中证全指证券公司指数收益率,20251024,5805.23
563980.SH,800红利低波ETF鑫元,中证800红利低波动指数收益率,20251024,4151.428
159295.SZ,创业综指ETF西部利得,创业板综合指数收益率,20251023,2190.374
563750.SH,中证500ETF汇添富,中证500指数收益率,20251022,29618.324
520960.SH,恒指港股通ETF嘉实,经估值汇率调整后的恒指港股通指数收益率,20251022,2066.627
159126.SZ,港股通50ETF南方,中证港股通50指数(经估值汇率调整后)收益率,20251022,12089.459
159122.SZ,创业板新能源ETF富国,创业板新能源指数收益率,20251022,5705.301
180607.SZ,华夏中海商业REIT,,20251020,517.817
159105.SZ,恒生生物科技ETF易方达,恒生生物科技指数收益率(使用估值汇率折算),20251020,62883.759
510670.SH,上证180ETF华夏,上证180指数收益率,20251020,4783.989
508029.SH,中信建投沈阳国际软件园REIT,,20251020,1619.002
512630.SH,卫星ETF广发,同期中证卫星产业指数收益率,20251013,392196.261
530100.SH,上证580ETF易方达,上证580指数收益率,20251010,2190.987
159285.SZ,港股通消费ETF华安,国证港股通消费主题指数收益率(经汇率调整),20251009,9932.959
159117.SZ,港股通红利低波ETF,标普港股通低波红利指数收益率(经汇率调整后),20250930,4597.97
589950.SH,科创100ETF富国,上证科创板100指数收益率,20250929,11488.849
589110.SH,科创人工智能ETF国泰,上证科创板人工智能指数收益率,20250926,31249.724
159106.SZ,民企300ETF前海开源,中证民企300指数收益率,20250926,1217.027
563670.SH,金融科技ETF鹏华,中证金融科技主题指数收益率,20250926,6061.416
588140.SH,科创200ETF广发,上证科创板200指数收益率,20250926,12108.962
159109.SZ,恒生50ETF景顺,恒生港股通50指数收益率(使用估值汇率折算),20250925,22091.627
520560.SH,香港大盘30ETF华宝,经人民币汇率调整的恒生中国(香港上市)30指数收益率,20250924,7680.404
563890.SH,国企红利ETF创金合信,中证国有企业红利指数收益率,20250924,111.433
563690.SH,红利低波ETF永赢,中证红利低波动指数收益率,20250923,1919.083
515720.SH,金融科技ETF富国,中证金融科技主题指数收益率,20250922,17117.957
520920.SH,恒生科技ETF天弘,恒生科技指数收益率(经估值汇率调整),20250922,257016.944
530380.SH,上证380ETF易方达,上证380指数收益率,20250922,5589.589
159275.SZ,农牧渔ETF华宝,中证全指农牧渔指数收益率,20250919,15233.283
159111.SZ,科创债ETF天弘,中证AAA科技创新公司债指数收益率,20250917,142105.431
551800.SH,科创债ETF国泰,中证AAA科技创新公司债指数收益率,20250917,8257394.217
511150.SH,科创债ETF永赢,上证AAA科技创新公司债指数收益率,20250917,2408269.265
159279.SZ,创业板人工智能ETF华安,创业板人工智能指数收益率,20250917,54864.931
159116.SZ,科创债ETF工银,中证AAA科技创新公司债指数收益率,20250917,1372188.754
159112.SZ,科创债ETF银华,中证AAA科技创新公司债指数收益率,20250917,371396.076
551520.SH,科创债ETF汇添富,中证AAA科技创新公司债指数收益率,20250917,1462011.351
551580.SH,科创债ETF泰康,中证AAA科技创新公司债指数收益率,20250917,173278.002
520720.SH,港股汽车ETF国泰,中证港股通汽车产业主题指数收益率(经估值汇率调整),20250917,66879.605
551560.SH,科创债ETF兴业,中证AAA科技创新公司债指数收益率,20250917,3439809.531
589780.SH,科创200ETF富国,上证科创板200指数收益率,20250917,4143.663
551300.SH,科创债ETF摩根,上证AAA科技创新公司债指数收益率,20250917,210962.758
551510.SH,科创债ETF华泰柏瑞,中证AAA科技创新公司债指数收益率,20250917,122154.31
159113.SZ,科创债ETF大成,中证AAA科技创新公司债指数收益率,20250917,1529965.772
159115.SZ,科创债ETF华安,中证AAA科技创新公司债指数收益率,20250917,918646.964
551060.SH,科创债ETF中银,上证AAA科技创新公司债指数收益率,20250917,2324107.524
159288.SZ,创业板综ETF银华,创业板综合指数收益率,20250917,2880.8
159110.SZ,科创债ETF万家,深证AAA科技创新公司债指数收益率,20250917,495095.635
508091.SH,华夏凯德商业REIT,,20250916,1796.914
159297.SZ,港股通创新药ETF南方,国证港股通创新药指数(经估值汇率调整后)收益率,20250912,69942.86
589120.SH,科创创新药ETF汇添富,上证科创板创新药指数收益率,20250910,44598.0
159107.SZ,创业板软件ETF富国,创业板软件指数收益率,20250910,54560.089
563600.SH,A500增强ETF易方达,中证A500指数收益率,20250910,1701.465
589960.SH,科创新能源ETF易方达,上证科创板新能源指数收益率,20250910,43634.647
560570.SH,A500红利ETF国联安,中证A500红利低波动指数收益率,20250910,33481.635
159290.SZ,创业板综指增强ETF东财,创业板综合指数收益率,20250909,5157.572
159272.SZ,机器人ETF富国,国证机器人产业指数收益率,20250908,88059.662
159102.SZ,港股通生物科技ETF华安,恒生生物科技指数收益率(经汇率调整),20250905,33646.269
563230.SH,卫星ETF富国,中证卫星产业指数收益率,20250904,693331.302
159299.SZ,金融科技ETF易方达,中证金融科技主题指数收益率,20250903,18641.793
