ts_code,ann_date,end_date,n_income,basic_eps
920753.BJ,20230428,20230331,3334247.25,0.05
920753.BJ,20230831,20230630,12787696.21,0.16
920753.BJ,20231031,20230930,25301832.76,0.31
920753.BJ,20240430,20231231,35848488.6,0.44
920753.BJ,20240430,20240331,1450054.05,0.02
920753.BJ,20240830,20240630,9800025.37,0.13
920753.BJ,20241031,20240930,20487337.78,0.26
920753.BJ,20250430,20241231,27741791.6,0.35
920753.BJ,20250430,20250331,2679778.27,0.04
920753.BJ,20250829,20250630,12127160.18,0.15
920753.BJ,20251030,20250930,23025110.71,0.28
920753.BJ,20260425,20251231,32421713.52,0.4
920753.BJ,20260425,20260331,5924034.07,0.07
