ts_code,ann_date,end_date,n_income,basic_eps
688388.SH,20230427,20230331,36725685.92,0.12
688388.SH,20230829,20230630,21275249.02,0.05
688388.SH,20231028,20230930,30982646.72,0.07
688388.SH,20240425,20231231,16578508.56,0.04
688388.SH,20240425,20240331,-48181193.48,-0.11
688388.SH,20240820,20240630,-107123335.23,-0.25
688388.SH,20241029,20240930,-148470422.14,-0.34
688388.SH,20250429,20241231,-246470591.05,-0.56
688388.SH,20250429,20250331,22767023.83,0.06
688388.SH,20250826,20250630,33562147.23,0.09
688388.SH,20251030,20250930,36810554.37,0.1
688388.SH,20260421,20251231,54569834.23,0.13
688388.SH,20260428,20260331,122746359.51,0.28
