ts_code,ann_date,end_date,n_income,basic_eps
301007.SZ,20230426,20230331,7898072.75,0.05
301007.SZ,20230825,20230630,24373816.59,0.16
301007.SZ,20231027,20230930,41878892.16,0.27
301007.SZ,20240419,20231231,53350186.5,0.35
301007.SZ,20240429,20240331,13002650.94,0.08
301007.SZ,20240830,20240630,25981815.37,0.17
301007.SZ,20241030,20240930,40957514.89,0.267
301007.SZ,20250422,20241231,53979989.72,0.35
301007.SZ,20250429,20250331,10873539.12,0.07
301007.SZ,20250827,20250630,23990866.73,0.16
301007.SZ,20251029,20250930,38319491.68,0.25
301007.SZ,20260413,20251231,51684497.59,0.34
301007.SZ,20260429,20260331,8863639.59,0.06
