ts_code,ann_date,end_date,n_income,basic_eps
300718.SZ,20230424,20230331,51206210.89,0.17
300718.SZ,20230830,20230630,119706740.77,0.4
300718.SZ,20231025,20230930,180021965.54,0.6
300718.SZ,20240424,20231231,241853569.61,0.81
300718.SZ,20240424,20240331,53020003.32,0.17
300718.SZ,20240830,20240630,118157046.18,0.39
300718.SZ,20241025,20240930,173776094.73,0.57
300718.SZ,20250423,20241231,235757382.37,0.77
300718.SZ,20250423,20250331,54419349.83,0.18
300718.SZ,20250827,20250630,130489502.0,0.42
300718.SZ,20251028,20250930,195599634.82,0.63
300718.SZ,20260428,20251231,265991029.88,0.85
300718.SZ,20260428,20260331,65824872.74,0.2
