ts_code,ann_date,end_date,n_income,basic_eps
002429.SZ,20230425,20230331,400531564.07,0.0846
002429.SZ,20230819,20230630,769681665.92,0.16
002429.SZ,20231021,20230930,1322331280.01,0.281
002429.SZ,20240413,20231231,1649408581.51,0.35
002429.SZ,20240426,20240331,453837479.86,0.0916
002429.SZ,20240806,20240630,989152098.88,0.2
002429.SZ,20241026,20240930,1456747151.65,0.3032
002429.SZ,20250417,20241231,1731412347.1,0.35
002429.SZ,20250425,20250331,357672860.32,0.0739
002429.SZ,20250823,20250630,720586243.73,0.15
002429.SZ,20251023,20250930,1102718306.41,0.221
002429.SZ,20260424,20251231,1466735314.06,0.29
002429.SZ,20260424,20260331,246787139.9,0.0463
