ts_code,ann_date,end_date,n_income,basic_eps
002833.SZ,20230429,20230331,123366634.8,0.29
002833.SZ,20230829,20230630,308866496.54,0.72
002833.SZ,20231031,20230930,480486107.08,1.13
002833.SZ,20240426,20231231,591487226.52,1.39
002833.SZ,20240426,20240331,143071193.44,0.33
002833.SZ,20240830,20240630,304758136.97,0.71
002833.SZ,20241031,20240930,459277689.77,1.07
002833.SZ,20250424,20241231,521028440.41,1.22
002833.SZ,20250429,20250331,132741621.13,0.31
002833.SZ,20250828,20250630,243429124.26,0.57
002833.SZ,20251030,20250930,339522011.37,0.8
002833.SZ,20260428,20251231,430475226.7,1.01
002833.SZ,20260428,20260331,146747845.83,0.34
