ts_code,ann_date,end_date,n_income,basic_eps
920190.BJ,20230425,20230331,11839378.56,0.1894
920190.BJ,20230818,20230630,24158218.66,0.2391
920190.BJ,20231027,20230930,28085785.14,0.2767
920190.BJ,20240403,20231231,34852195.32,0.3449
920190.BJ,20240430,20240331,5950885.14,0.0609
920190.BJ,20240817,20240630,8390075.37,0.0847
920190.BJ,20241030,20240930,18146634.24,0.1816
920190.BJ,20250429,20241231,21597819.92,0.215
920190.BJ,20250429,20250331,9780808.61,0.0949
920190.BJ,20250816,20250630,14751938.04,0.1434
920190.BJ,20251030,20250930,20516661.06,0.2004
920190.BJ,20260401,20251231,23631351.78,0.2289
920190.BJ,20260425,20260331,14564433.93,0.1466
