ts_code,ann_date,end_date,n_income,basic_eps
300609.SZ,20230422,20230331,-9033790.5,-0.0552
300609.SZ,20230829,20230630,-16183111.54,-0.1236
300609.SZ,20231028,20230930,-36944141.15,-0.2704
300609.SZ,20240427,20231231,-24729676.81,-0.28
300609.SZ,20240427,20240331,-26863292.09,-0.1719
300609.SZ,20240828,20240630,-43062461.64,-0.269
300609.SZ,20241030,20240930,-54551429.71,-0.3203
300609.SZ,20250423,20241231,-25587703.15,-0.2
300609.SZ,20250423,20250331,-6127342.01,-0.022
300609.SZ,20250829,20250630,-24505040.58,-0.1454
300609.SZ,20251030,20250930,-46388068.22,-0.2981
300609.SZ,20260425,20251231,-99623835.32,-0.69
300609.SZ,20260425,20260331,-21758210.16,-0.1684
