ts_code,ann_date,end_date,n_income,basic_eps
603317.SH,20230418,20230331,127805204.53,0.122
603317.SH,20230822,20230630,207652916.81,0.1975
603317.SH,20231028,20230930,319667278.01,0.3052
603317.SH,20240328,20231231,465513164.17,0.4349
603317.SH,20240426,20240331,178286911.26,0.1672
603317.SH,20240831,20240630,254565099.88,0.2346
603317.SH,20241025,20240930,444558921.61,0.4105
603317.SH,20250328,20241231,644728809.22,0.5926
603317.SH,20250429,20250331,79149600.44,0.0707
603317.SH,20250828,20250630,202148459.34,0.1797
603317.SH,20251031,20250930,413472785.74,0.3709
603317.SH,20260312,20251231,602765926.03,0.5386
603317.SH,20260428,20260331,262694563.79,0.2363
