ts_code,ann_date,end_date,n_income,basic_eps
601827.SH,20230429,20230331,370594469.02,0.21
601827.SH,20230818,20230630,661364023.6,0.38
601827.SH,20231028,20230930,1030240564.75,0.59
601827.SH,20240329,20231231,1216159220.25,0.69
601827.SH,20240430,20240331,409404056.92,0.23
601827.SH,20240827,20240630,702150377.84,0.4
601827.SH,20241030,20240930,1066392770.21,0.6
601827.SH,20250329,20241231,1223343411.33,0.7
601827.SH,20250430,20250331,427810202.92,0.24
601827.SH,20250827,20250630,706288820.82,0.41
601827.SH,20251030,20250930,1148976292.7,0.66
601827.SH,20260331,20251231,1281927944.82,0.74
601827.SH,20260430,20260331,462862731.99,0.26
