ts_code,ann_date,end_date,n_income,basic_eps
301048.SZ,20230428,20230331,65144185.46,0.1221
301048.SZ,20230826,20230630,137988430.78,0.26
301048.SZ,20231030,20230930,172154592.95,0.33
301048.SZ,20240420,20231231,296410221.68,0.55
301048.SZ,20240426,20240331,44031991.84,0.0827
301048.SZ,20240827,20240630,84540554.55,0.16
301048.SZ,20241030,20240930,105855750.59,0.2
301048.SZ,20250424,20241231,192032489.33,0.36
301048.SZ,20250429,20250331,35230005.62,0.0656
301048.SZ,20250827,20250630,96434967.83,0.18
301048.SZ,20251029,20250930,130824321.62,0.23
301048.SZ,20260427,20251231,209332528.46,0.38
301048.SZ,20260429,20260331,47645259.23,0.0884
