ts_code,ann_date,end_date,n_income,basic_eps
300445.SZ,20230425,20230331,17045530.35,0.08
300445.SZ,20230829,20230630,41273521.25,0.2
300445.SZ,20231028,20230930,69225287.97,0.33
300445.SZ,20240327,20231231,101400371.45,0.48
300445.SZ,20240424,20240331,25010594.7,0.12
300445.SZ,20240828,20240630,58424695.72,0.28
300445.SZ,20241024,20240930,88322282.19,0.42
300445.SZ,20250328,20241231,126834441.45,0.59
300445.SZ,20250429,20250331,21326674.04,0.1
300445.SZ,20250826,20250630,52614917.89,0.25
300445.SZ,20251024,20250930,93073619.47,0.44
300445.SZ,20260331,20251231,105400963.82,0.49
300445.SZ,20260424,20260331,32426653.27,0.16
