ts_code,ann_date,end_date,n_income,basic_eps
300701.SZ,20230427,20230331,7808822.46,0.03
300701.SZ,20230826,20230630,23512621.04,0.0871
300701.SZ,20231026,20230930,37769273.99,0.1399
300701.SZ,20240426,20231231,56444131.01,0.21
300701.SZ,20240429,20240331,12814788.08,0.04
300701.SZ,20240827,20240630,22634447.36,0.0654
300701.SZ,20241026,20240930,43514466.94,0.131
300701.SZ,20250424,20241231,49035260.5,0.14
300701.SZ,20250429,20250331,9224853.88,0.03
300701.SZ,20250829,20250630,34290729.95,0.1053
300701.SZ,20251029,20250930,68037956.73,0.2169
300701.SZ,20260427,20251231,83474940.41,0.26
300701.SZ,20260429,20260331,9135718.34,0.03
