ts_code,ann_date,end_date,n_income,basic_eps
002647.SZ,20230429,20230331,-30199635.03,-0.0562
002647.SZ,20230829,20230630,-76571079.22,-0.14
002647.SZ,20231028,20230930,-127173278.51,-0.23
002647.SZ,20240430,20231231,-213304459.33,-0.38
002647.SZ,20240430,20240331,-27808281.7,-0.052
002647.SZ,20240831,20240630,-112712296.06,-0.2
002647.SZ,20241031,20240930,-141129890.36,-0.26
002647.SZ,20250429,20241231,-831856760.44,-1.49
002647.SZ,20250429,20250331,486045554.19,0.429
002647.SZ,20250829,20250630,349423046.78,0.38
002647.SZ,20251030,20250930,371074036.35,0.37
002647.SZ,20260228,20251231,361864008.28,0.35
002647.SZ,20260430,20260331,49086655.3,0.0416
