ts_code,ann_date,end_date,n_income,basic_eps
300982.SZ,20230421,20230331,96294463.79,0.56
300982.SZ,20230830,20230630,139167732.7,0.81
300982.SZ,20231027,20230930,205308705.96,0.99
300982.SZ,20240425,20231231,79596328.79,0.38
300982.SZ,20240425,20240331,51143466.46,0.28
300982.SZ,20240827,20240630,99181301.78,0.56
300982.SZ,20241030,20240930,53126823.16,0.26
300982.SZ,20250428,20241231,53109475.29,0.26
300982.SZ,20250428,20250331,36613953.97,0.1777
300982.SZ,20250826,20250630,36472169.66,0.17
300982.SZ,20251030,20250930,11161625.97,0.05
300982.SZ,20260429,20251231,-32090690.82,-0.15
300982.SZ,20260429,20260331,-8524310.96,-0.0411
