ts_code,ann_date,end_date,n_income,basic_eps
600673.SH,20230429,20230331,63257618.65,0.022
600673.SH,20230826,20230630,-176916672.96,-0.046
600673.SH,20231028,20230930,-253512473.53,-0.074
600673.SH,20240330,20231231,-339147913.05,-0.1
600673.SH,20240424,20240331,91767836.09,0.033
600673.SH,20240820,20240630,216615830.81,0.076
600673.SH,20241031,20240930,300501577.08,0.106
600673.SH,20250410,20241231,374892053.61,0.13
600673.SH,20250425,20250331,286460900.43,0.095
600673.SH,20250815,20250630,627232109.41,0.209
600673.SH,20251028,20250930,919163974.27,0.309
600673.SH,20260410,20251231,291149779.26,0.09
600673.SH,20260428,20260331,137594062.63,0.04
