ts_code,ann_date,end_date,n_income,basic_eps
920130.BJ,20231024,20230630,9746028.64,0.13
920130.BJ,20240424,20231231,37963341.94,0.49
920130.BJ,20240424,20240331,-8819605.65,-0.09
920130.BJ,20240828,20240630,-29936290.67,-0.32
920130.BJ,20241031,20240930,-48713132.62,-0.53
920130.BJ,20250429,20241231,-95112936.3,-1.03
920130.BJ,20250429,20250331,-8362000.56,-0.09
920130.BJ,20250829,20250630,-12235588.19,-0.13
920130.BJ,20251031,20250930,-14668521.33,-0.15
920130.BJ,20260425,20251231,-51202213.39,-0.55
920130.BJ,20260425,20260331,-8084980.84,-0.09
