ts_code,ann_date,end_date,n_income,basic_eps
603087.SH,20230428,20230331,49223217.91,0.09
603087.SH,20230825,20230630,134155204.91,0.24
603087.SH,20231031,20230930,266475847.45,0.47
603087.SH,20240425,20231231,340231490.19,0.6
603087.SH,20240425,20240331,96004233.73,0.16
603087.SH,20240829,20240630,298904048.9,0.51
603087.SH,20241023,20240930,507265199.52,0.85
603087.SH,20250425,20241231,614663800.7,1.04
603087.SH,20250425,20250331,311918723.02,0.53
603087.SH,20250808,20250630,603680572.48,1.02
603087.SH,20251031,20250930,818339617.3,1.38
603087.SH,20260423,20251231,1143583603.28,1.93
603087.SH,20260423,20260331,192462041.72,0.33
