ts_code,ann_date,end_date,n_income,basic_eps
920139.BJ,20230429,20230331,17508241.76,0.07
920139.BJ,20230829,20230630,44568982.33,0.17
920139.BJ,20231031,20230930,61956116.31,0.23
920139.BJ,20240323,20231231,74862558.72,0.28
920139.BJ,20240430,20240331,5218334.69,0.02
920139.BJ,20240829,20240630,-2824399.35,-0.01
920139.BJ,20241031,20240930,-15184265.76,-0.06
920139.BJ,20250326,20241231,-14983228.99,-0.06
920139.BJ,20250429,20250331,-9720190.46,-0.04
920139.BJ,20250828,20250630,-13519887.82,-0.05
920139.BJ,20251029,20250930,-28672698.86,-0.11
920139.BJ,20260328,20251231,-55935471.44,-0.21
920139.BJ,20260430,20260331,-12665173.2,-0.05
