ts_code,ann_date,end_date,n_income,basic_eps
920299.BJ,20230427,20230331,2550149.86,0.03
920299.BJ,20230825,20230630,7672039.15,0.09
920299.BJ,20231028,20230930,13633534.49,0.15
920299.BJ,20240419,20231231,24515183.67,0.27
920299.BJ,20240419,20240331,3526791.21,0.04
920299.BJ,20240810,20240630,7380835.28,0.08
920299.BJ,20241026,20240930,13512845.45,0.15
920299.BJ,20250419,20241231,24463361.36,0.27
920299.BJ,20250419,20250331,4497030.86,0.05
920299.BJ,20250822,20250630,10418794.59,0.12
920299.BJ,20251029,20250930,15851029.93,0.18
920299.BJ,20260418,20251231,24903130.47,0.28
920299.BJ,20260418,20260331,3084853.61,0.03
