ts_code,ann_date,end_date,n_income,basic_eps
920808.BJ,20230426,20230331,61798835.21,0.78
920808.BJ,20230825,20230630,47743923.53,0.24
920808.BJ,20231027,20230930,24017592.55,0.12
920808.BJ,20240418,20231231,104475956.93,0.52
920808.BJ,20240426,20240331,-7301765.13,-0.04
920808.BJ,20240823,20240630,-5682791.14,-0.03
920808.BJ,20241029,20240930,-4592987.39,-0.02
920808.BJ,20250305,20241231,61424446.37,0.31
920808.BJ,20250430,20250331,-31372508.98,-0.16
920808.BJ,20250829,20250630,-40772293.01,-0.2
920808.BJ,20251031,20250930,-69817915.7,-0.35
920808.BJ,20260415,20251231,36897665.35,0.18
920808.BJ,20260425,20260331,-47595269.41,-0.24
