ts_code,ann_date,end_date,n_income,basic_eps
920184.BJ,20230428,20230331,-7750641.84,-0.06
920184.BJ,20230811,20230630,5138338.4,0.04
920184.BJ,20231028,20230930,8347068.07,0.06
920184.BJ,20240329,20231231,9579759.33,0.07
920184.BJ,20240427,20240331,1610351.73,0.01
920184.BJ,20240829,20240630,9193583.88,0.07
920184.BJ,20241030,20240930,15356600.06,0.12
920184.BJ,20250419,20241231,12225133.71,0.09
920184.BJ,20250429,20250331,1838467.77,0.01
920184.BJ,20250821,20250630,7004960.71,0.05
920184.BJ,20251029,20250930,13352280.59,0.1
920184.BJ,20260425,20251231,21901592.14,0.17
920184.BJ,20260429,20260331,1611719.69,0.01
