ts_code,ann_date,end_date,n_income,basic_eps
688716.SH,20230901,20230630,23616454.16,0.26
688716.SH,20231030,20230930,26455819.59,0.29
688716.SH,20240426,20231231,54553799.46,0.55
688716.SH,20240426,20240331,86673.42,0.001
688716.SH,20240828,20240630,17518770.28,0.14
688716.SH,20241030,20240930,29851649.6,0.25
688716.SH,20250426,20241231,39283401.38,0.32
688716.SH,20250426,20250331,5660174.75,0.05
688716.SH,20250828,20250630,7026933.48,0.06
688716.SH,20251031,20250930,10426941.04,0.09
688716.SH,20260429,20251231,11866743.84,0.1
688716.SH,20260429,20260331,-4813659.96,-0.04
