ts_code,ann_date,end_date,n_income,basic_eps
920735.BJ,20230420,20230331,32098671.81,0.5
920735.BJ,20230824,20230630,71881427.38,0.93
920735.BJ,20231024,20230930,84501559.5,1.1
920735.BJ,20240330,20231231,137982926.46,1.8
920735.BJ,20240425,20240331,35454180.52,0.46
920735.BJ,20240829,20240630,80194053.71,1.03
920735.BJ,20241026,20240930,115282910.6,1.49
920735.BJ,20250401,20241231,176983423.5,2.28
920735.BJ,20250429,20250331,46442966.9,0.59
920735.BJ,20250820,20250630,97785465.0,0.83
920735.BJ,20251031,20250930,158926370.94,1.35
920735.BJ,20260306,20251231,236929075.58,2.02
920735.BJ,20260429,20260331,55513502.4,0.47
