ts_code,ann_date,end_date,n_income,basic_eps
920030.BJ,20230426,20230331,3001094.09,0.02
920030.BJ,20230822,20230630,4579709.31,0.03
920030.BJ,20231026,20230930,5030482.33,0.03
920030.BJ,20240423,20231231,-19558001.58,-0.1
920030.BJ,20240427,20240331,2032834.23,0.01
920030.BJ,20240829,20240630,2190401.1,0.01
920030.BJ,20241031,20240930,4332242.5,0.03
920030.BJ,20250426,20241231,5843133.8,0.03
920030.BJ,20250426,20250331,1765653.7,0.01
920030.BJ,20250823,20250630,-2080473.17,-0.01
920030.BJ,20251029,20250930,-9569870.6,-0.05
920030.BJ,20260423,20251231,-33144844.72,-0.17
920030.BJ,20260428,20260331,1783901.82,0.01
