ts_code,ann_date,end_date,n_income,basic_eps
600692.SH,20230428,20230331,-22648464.46,-0.0555
600692.SH,20230830,20230630,-28280920.04,-0.0616
600692.SH,20231028,20230930,-25573090.83,-0.0546
600692.SH,20240424,20231231,-3144608.24,0.0069
600692.SH,20240430,20240331,-3335329.57,0.0001
600692.SH,20240829,20240630,10946367.17,0.0372
600692.SH,20241030,20240930,2548813.3,0.0128
600692.SH,20250411,20241231,6978899.78,0.0181
600692.SH,20250429,20250331,-10298159.22,-0.0303
600692.SH,20250827,20250630,-8583447.68,-0.0293
600692.SH,20251030,20250930,-14151199.47,-0.0462
600692.SH,20260403,20251231,40947024.67,0.0409
600692.SH,20260430,20260331,6941671.51,0.005
