ts_code,ann_date,end_date,n_income,basic_eps
603363.SH,20230429,20230331,-250464569.13,-0.21
603363.SH,20230831,20230630,-979105672.1,-0.93
603363.SH,20231028,20230930,-1533492173.17,-1.49
603363.SH,20240430,20231231,-3768684352.22,-4.21
603363.SH,20240430,20240331,-372743346.37,-0.34
603363.SH,20240831,20240630,-652960205.65,-0.62
603363.SH,20241031,20240930,-953197224.77,-0.94
603363.SH,20250430,20241231,63091581.34,0.67
603363.SH,20250430,20250331,221671023.85,0.08
603363.SH,20250826,20250630,375393633.1,0.14
603363.SH,20251028,20250930,439170633.46,0.16
603363.SH,20260423,20251231,89408894.36,0.03
603363.SH,20260428,20260331,-42822270.79,-0.01
