ts_code,ann_date,end_date,n_income,basic_eps
920212.BJ,20230428,20230331,1853603.31,0.02
920212.BJ,20230819,20230630,9092497.87,0.09
920212.BJ,20231028,20230930,13611856.85,0.13
920212.BJ,20240427,20231231,15253181.34,0.14
920212.BJ,20240427,20240331,770202.8,0.01
920212.BJ,20240829,20240630,7974081.11,0.08
920212.BJ,20241031,20240930,14147427.28,0.14
920212.BJ,20250424,20241231,17225503.55,0.17
920212.BJ,20250429,20250331,7931734.54,0.08
920212.BJ,20250829,20250630,283005.16,0.01
920212.BJ,20251030,20250930,6434248.63,0.07
920212.BJ,20260423,20251231,9389846.02,0.1
920212.BJ,20260429,20260331,650086.23,0.01
