ts_code,ann_date,end_date,n_income,basic_eps
920061.BJ,20230429,20230331,16231197.87,
920061.BJ,20230901,20230630,28596595.61,0.54
920061.BJ,20231107,20230930,39003307.33,
920061.BJ,20240427,20231231,44144814.6,0.83
920061.BJ,20240427,20240331,8827387.35,0.18
920061.BJ,20240824,20240630,14027125.48,0.2
920061.BJ,20241029,20240930,17706458.95,0.25
920061.BJ,20250426,20241231,20073086.57,0.28
920061.BJ,20250426,20250331,1062346.92,0.02
920061.BJ,20250823,20250630,2123045.04,0.03
920061.BJ,20251029,20250930,3190178.67,0.05
920061.BJ,20260418,20251231,4428508.62,0.06
920061.BJ,20260418,20260331,1170542.57,0.02
