ts_code,ann_date,end_date,n_income,basic_eps
688568.SH,20230418,20230331,11201643.83,0.02
688568.SH,20230825,20230630,65152451.03,0.1
688568.SH,20231027,20230930,166561550.87,0.2822
688568.SH,20240415,20231231,481885818.11,0.94
688568.SH,20240426,20240331,17525623.01,0.0053
688568.SH,20240823,20240630,107003832.28,0.12
688568.SH,20241029,20240930,229600969.78,0.2677
688568.SH,20250304,20241231,525865105.5,0.65
688568.SH,20250430,20250331,32623806.6,0.0257
688568.SH,20250829,20250630,126678221.25,0.0965
688568.SH,20251031,20250930,230583012.85,0.1811
688568.SH,20260415,20251231,111606840.3,0.04
688568.SH,20260425,20260331,-163116097.11,-0.1842
