ts_code,ann_date,end_date,n_income,basic_eps
600084.SH,20230426,20230331,11811469.44,0.0104
600084.SH,20230823,20230630,6153463.65,0.0055
600084.SH,20231027,20230930,8021106.39,0.0068
600084.SH,20240427,20231231,4668091.1,0.0033
600084.SH,20240427,20240331,969638.77,0.001
600084.SH,20240823,20240630,-5108583.0,-0.0044
600084.SH,20241026,20240930,451643.96,0.0004
600084.SH,20250322,20241231,16721534.04,0.0148
600084.SH,20250430,20250331,1832634.03,0.0016
600084.SH,20250830,20250630,654157.19,0.0006
600084.SH,20251031,20250930,142531.4,0.0001
600084.SH,20260428,20251231,-26162863.39,-0.0232
600084.SH,20260430,20260331,5546573.73,0.0048
