ts_code,ann_date,end_date,n_income,basic_eps
920719.BJ,20230505,20230331,27841137.8,0.36
920719.BJ,20230819,20230630,46060655.17,0.55
920719.BJ,20231028,20230930,63294278.94,0.69
920719.BJ,20240427,20231231,71505777.27,0.7
920719.BJ,20240427,20240331,-6974516.92,-0.08
920719.BJ,20240830,20240630,-14989636.01,-0.2
920719.BJ,20241031,20240930,-46321363.17,-0.54
920719.BJ,20250429,20241231,-255753439.54,-2.8
920719.BJ,20250429,20250331,-17677357.28,-0.19
920719.BJ,20250829,20250630,-53355732.86,-0.57
920719.BJ,20251021,20250930,-107933584.75,-1.16
920719.BJ,20260430,20251231,-500376641.4,-5.39
920719.BJ,20260430,20260331,-44639203.66,-0.48
