ts_code,ann_date,end_date,n_income,basic_eps
001207.SZ,20230427,20230331,17806728.25,0.1
001207.SZ,20230830,20230630,60416118.78,0.33
001207.SZ,20231018,20230930,115011485.06,0.6
001207.SZ,20240308,20231231,170379367.49,0.88
001207.SZ,20240415,20240331,55601285.58,0.28
001207.SZ,20240828,20240630,123687765.34,0.61
001207.SZ,20241016,20240930,201394546.34,1.0
001207.SZ,20250228,20241231,274337756.9,1.36
001207.SZ,20250430,20250331,83717547.84,0.42
001207.SZ,20250829,20250630,157675407.59,0.78
001207.SZ,20251016,20250930,231893408.33,1.16
001207.SZ,20260307,20251231,294716890.53,1.44
001207.SZ,20260421,20260331,65551108.87,0.3
