ts_code,ann_date,end_date,n_income,basic_eps
001979.SZ,20230422,20230331,424423312.65,0.004
001979.SZ,20230829,20230630,3801635459.73,0.22
001979.SZ,20231031,20230930,5526078764.45,0.39
001979.SZ,20240319,20231231,9106230974.83,0.65
001979.SZ,20240430,20240331,936085793.06,0.01
001979.SZ,20240831,20240630,1847142413.28,0.11
001979.SZ,20241031,20240930,3419601345.63,0.22
001979.SZ,20250318,20241231,4188901524.85,0.37
001979.SZ,20250430,20250331,386490978.72,0.04
001979.SZ,20250829,20250630,1740204824.89,0.14
001979.SZ,20251031,20250930,3597992612.7,0.25
001979.SZ,20260317,20251231,703853472.54,0.08
001979.SZ,20260430,20260331,205847060.23,0.004
