ts_code,ann_date,end_date,n_income,basic_eps
920260.BJ,20230428,20230331,4619565.04,0.04
920260.BJ,20230826,20230630,14254931.36,0.14
920260.BJ,20231027,20230930,30942431.16,0.3
920260.BJ,20240425,20231231,43337262.63,0.42
920260.BJ,20240425,20240331,6720171.31,0.06
920260.BJ,20240829,20240630,21270818.51,0.21
920260.BJ,20241030,20240930,32505546.43,0.31
920260.BJ,20250426,20241231,44523904.56,0.43
920260.BJ,20250426,20250331,12790203.68,0.12
920260.BJ,20250827,20250630,15862451.88,0.15
920260.BJ,20251029,20250930,24759557.84,0.24
920260.BJ,20260425,20251231,42029317.07,0.41
920260.BJ,20260425,20260331,3174086.39,0.03
