ts_code,ann_date,end_date,n_income,basic_eps
920640.BJ,20230429,20230331,43870797.06,0.2236
920640.BJ,20230823,20230630,94344718.27,0.4805
920640.BJ,20231025,20230930,124638556.66,0.63
920640.BJ,20240316,20231231,155429350.91,0.7786
920640.BJ,20240427,20240331,16257347.64,0.0706
920640.BJ,20240828,20240630,40213703.48,0.1792
920640.BJ,20241030,20240930,44061960.54,0.1917
920640.BJ,20250329,20241231,59013353.04,0.2723
920640.BJ,20250429,20250331,14302798.26,0.0659
920640.BJ,20250830,20250630,42807756.33,0.198
920640.BJ,20251030,20250930,64381848.06,0.2979
920640.BJ,20260328,20251231,88001442.26,0.414
920640.BJ,20260425,20260331,14374111.4,0.0674
