ts_code,ann_date,end_date,n_income,basic_eps
300846.SZ,20230422,20230331,-56957236.1,-0.1227
300846.SZ,20230815,20230630,-99717422.32,-0.2191
300846.SZ,20231021,20230930,-141316860.16,-0.3146
300846.SZ,20240418,20231231,-331909898.31,-0.7285
300846.SZ,20240426,20240331,-44540181.99,-0.0973
300846.SZ,20240816,20240630,-88319034.36,-0.1884
300846.SZ,20241024,20240930,-139486491.16,-0.297
300846.SZ,20250401,20241231,-294410059.61,-0.6126
300846.SZ,20250426,20250331,-37334748.59,-0.0794
300846.SZ,20250822,20250630,-65509404.86,-0.1417
300846.SZ,20251024,20250930,-92288468.49,-0.1983
300846.SZ,20260320,20251231,-158920588.39,-0.3389
300846.SZ,20260427,20260331,-18523846.23,-0.0428
