ts_code,ann_date,end_date,n_income,basic_eps
603022.SH,20230425,20230331,10766136.92,0.05
603022.SH,20230818,20230630,19403684.15,0.1
603022.SH,20231028,20230930,31519907.67,0.16
603022.SH,20240426,20231231,51527333.9,0.26
603022.SH,20240426,20240331,12289248.89,0.06
603022.SH,20240823,20240630,20977988.07,0.1
603022.SH,20241029,20240930,34093638.33,0.17
603022.SH,20250425,20241231,49843736.7,0.25
603022.SH,20250425,20250331,12487582.84,0.06
603022.SH,20250816,20250630,21629179.18,0.11
603022.SH,20251029,20250930,36537873.28,0.18
603022.SH,20260430,20251231,59510742.72,0.3
603022.SH,20260430,20260331,12364775.47,0.06
