ts_code,ann_date,end_date,n_income,basic_eps
920519.BJ,20230513,20230331,11997404.18,0.17
920519.BJ,20230805,20230630,24317396.31,0.35
920519.BJ,20231027,20230930,35536087.54,0.51
920519.BJ,20240420,20231231,54236670.01,0.73
920519.BJ,20240426,20240331,10300990.15,0.12
920519.BJ,20240823,20240630,20136765.37,0.23
920519.BJ,20241030,20240930,25462695.04,0.29
920519.BJ,20250426,20241231,30626227.75,0.35
920519.BJ,20250426,20250331,5355030.52,0.06
920519.BJ,20250828,20250630,5299646.45,0.06
920519.BJ,20251030,20250930,11329245.72,0.13
920519.BJ,20260424,20251231,20357388.05,0.23
920519.BJ,20260430,20260331,11066580.11,0.13
