ts_code,ann_date,end_date,n_income,basic_eps
920227.BJ,20230428,20230331,9803266.97,0.25
920227.BJ,20230830,20230630,21258530.16,0.55
920227.BJ,20231031,20230930,32361565.35,0.83
920227.BJ,20240427,20231231,42362263.41,1.09
920227.BJ,20240427,20240331,10152676.24,0.26
920227.BJ,20240829,20240630,20110899.93,0.52
920227.BJ,20241030,20240930,31264942.22,0.8
920227.BJ,20250419,20241231,41298435.72,1.07
920227.BJ,20250429,20250331,10599925.61,0.28
920227.BJ,20250826,20250630,18620433.4,0.5
920227.BJ,20251029,20250930,29129775.12,0.77
920227.BJ,20260414,20251231,42550990.62,1.11
920227.BJ,20260429,20260331,11728395.3,0.3
