ts_code,ann_date,end_date,n_income,basic_eps
688778.SH,20230422,20230331,115820109.54,0.38
688778.SH,20230825,20230630,255266071.62,0.61
688778.SH,20231025,20230930,413245495.72,0.98
688778.SH,20240418,20231231,529491777.15,1.25
688778.SH,20240418,20240331,110584292.3,0.26
688778.SH,20240803,20240630,238436027.58,0.57
688778.SH,20241026,20240930,364232052.74,0.87
688778.SH,20250426,20241231,488321118.14,1.18
688778.SH,20250426,20250331,114594778.09,0.28
688778.SH,20250821,20250630,305884620.09,0.61
688778.SH,20251025,20250930,555409261.75,1.1
688778.SH,20260423,20251231,748763713.69,1.5
688778.SH,20260423,20260331,228272020.42,0.44
