ts_code,ann_date,end_date,n_income,basic_eps
688489.SH,20230426,20230331,-3783403.23,-0.0492
688489.SH,20230825,20230630,10248222.0,0.089
688489.SH,20231027,20230930,44624598.9,0.3486
688489.SH,20240420,20231231,75738322.84,0.5907
688489.SH,20240420,20240331,-11012489.91,-0.0878
688489.SH,20240830,20240630,15651579.21,0.1212
688489.SH,20241031,20240930,15336680.26,0.1255
688489.SH,20250331,20241231,49901575.09,0.3741
688489.SH,20250425,20250331,-36296846.19,-0.2963
688489.SH,20250822,20250630,-28715240.68,-0.2615
688489.SH,20251031,20250930,-37600900.9,-0.3412
688489.SH,20260331,20251231,-37869738.59,-0.3798
688489.SH,20260430,20260331,-22648323.63,-0.1963
