ts_code,ann_date,end_date,n_income,basic_eps
603316.SH,20230429,20230331,-2735612.16,-0.01
603316.SH,20230830,20230630,-16034105.94,-0.06
603316.SH,20231028,20230930,-34229398.09,-0.14
603316.SH,20240430,20231231,-108363488.17,-0.41
603316.SH,20240430,20240331,-2767083.96,-0.01
603316.SH,20240829,20240630,-4881802.34,-0.02
603316.SH,20241031,20240930,-16117149.45,-0.06
603316.SH,20250430,20241231,-103774345.32,-0.38
603316.SH,20250430,20250331,3137006.48,0.01
603316.SH,20250830,20250630,-10240904.82,-0.04
603316.SH,20251031,20250930,-6542289.5,-0.03
603316.SH,20260307,20251231,-112257991.93,-0.4526
603316.SH,20260430,20260331,27507320.38,0.09
