ts_code,ann_date,end_date,n_income,basic_eps
920837.BJ,20230823,20230630,25461977.43,0.18
920837.BJ,20231031,20230930,37903393.72,0.26
920837.BJ,20240330,20231231,54956862.71,0.39
920837.BJ,20240427,20240331,13751766.69,0.09
920837.BJ,20240828,20240630,29158573.54,0.19
920837.BJ,20241030,20240930,47932202.45,0.31
920837.BJ,20250401,20241231,65198849.49,0.43
920837.BJ,20250426,20250331,17856561.96,0.11
920837.BJ,20250827,20250630,38876260.58,0.25
920837.BJ,20251029,20250930,60674295.94,0.39
920837.BJ,20260401,20251231,77115475.02,0.49
920837.BJ,20260428,20260331,22764897.23,0.15
