ts_code,ann_date,end_date,n_income,basic_eps
920981.BJ,20230428,20230331,499882.3,0.01
920981.BJ,20230829,20230630,-4365890.21,-0.06
920981.BJ,20231031,20230930,-6700768.86,-0.09
920981.BJ,20240427,20231231,-5665176.42,-0.07
920981.BJ,20240427,20240331,-556634.62,-0.01
920981.BJ,20240824,20240630,5671979.3,0.07
920981.BJ,20241031,20240930,8502915.65,0.11
920981.BJ,20250426,20241231,5923743.42,0.08
920981.BJ,20250426,20250331,1023121.65,0.01
920981.BJ,20250827,20250630,2703206.06,0.04
920981.BJ,20251030,20250930,7959382.38,0.1
920981.BJ,20260320,20251231,9683732.09,0.13
920981.BJ,20260429,20260331,3976930.58,0.05
